LoanID,Segment,Grade,LimitGBP,DrawnGBP,DSCR,LeverageX,YearsTrading,PriorArrears,DefaultFlag,ObservedLGD
L001,Retail,BB,225000,197553,1,2.8,3,0,0,
L002,Retail,BB+,825000,730556,2.05,4.7,8,0,0,
L003,Retail,B+,1200000,1096105,1.65,4.2,6,0,0,
L004,Manufacturing,B,925000,571562,1.02,5.9,25,0,0,
L005,Manufacturing,BB-,850000,589816,2.53,2,22,0,0,
L006,Retail,BB-,1275000,506807,1.09,3.1,8,0,0,
L007,Construction,BB+,450000,323440,2.58,4.7,18,0,0,
L008,Logistics,B-,450000,187342,2.04,5,27,0,0,
L009,Logistics,B-,1150000,495921,1.96,2.7,24,1,0,
L010,Healthcare,BB,1075000,547097,1.25,2.3,17,0,0,
L011,Retail,B-,300000,243449,1.55,4.3,15,0,0,
L012,Manufacturing,BB-,1150000,794899,0.92,5.5,21,0,1,0.44
L013,Manufacturing,B,575000,536510,0.94,4.5,6,1,0,
L014,Construction,BB+,1200000,438507,2.6,3.3,24,1,0,
L015,Healthcare,BB+,1100000,1028125,1.34,1.5,15,1,0,
L016,Construction,BB+,850000,395846,1.4,2.7,24,1,0,
L017,Logistics,B-,625000,504064,1.42,5.6,15,0,0,
L018,Logistics,BB-,1200000,927710,2.61,3.3,20,0,0,
L019,Logistics,BB,300000,281472,1.31,2.8,22,0,0,
L020,Manufacturing,B-,650000,603628,2.02,5,23,1,0,
L021,Healthcare,B,1050000,648321,0.82,4.7,16,0,1,0.64
L022,Manufacturing,BB,375000,346418,1.64,3.3,10,0,0,
L023,Logistics,B-,625000,466333,1.92,4.9,8,0,0,
L024,Manufacturing,BB-,200000,189691,2.3,1.6,11,0,1,0.54
L025,Construction,B,800000,540222,0.97,3.4,28,0,0,
L026,Logistics,B,1250000,738653,2.17,1.9,9,0,0,
L027,Healthcare,BB-,1250000,1187226,2.55,2.2,27,0,0,
L028,Logistics,B+,1175000,469568,1.04,4.9,11,0,0,
L029,Healthcare,BB+,875000,583138,2.18,5.3,14,1,0,
L030,Manufacturing,B,700000,655954,2.19,5,16,1,0,
L031,Logistics,B+,1150000,578786,0.95,4.8,6,1,0,
L032,Construction,BB+,1150000,693997,2.14,4,10,0,0,
L033,Retail,BB+,575000,314604,1.48,5.2,12,0,0,
L034,Healthcare,B-,225000,95173,1.7,3.9,27,0,0,
L035,Retail,BB+,1375000,1218181,2.17,4.9,18,0,0,
L036,Logistics,BB,1350000,626014,2.44,4.8,23,0,0,
L037,Manufacturing,B,1125000,829964,2.63,2.3,13,0,1,0.59
L038,Healthcare,BB,200000,78837,2.05,2.7,11,0,0,
L039,Logistics,BB,650000,264451,1.19,3.5,15,0,0,
L040,Retail,BB-,200000,86957,1.36,2.1,9,0,0,
L041,Construction,BB-,925000,667125,1.93,5.3,16,0,0,
L042,Manufacturing,B-,1175000,1013977,2.06,5.2,22,0,0,
L043,Logistics,B-,875000,757287,2.68,3,25,0,0,
L044,Logistics,BB,550000,501316,1.76,3.1,11,0,0,
L045,Logistics,B+,1050000,924123,2.4,1.6,8,0,0,
L046,Logistics,B+,850000,324671,2.12,3.5,3,1,0,
L047,Retail,BB+,1100000,742441,2.58,1.9,29,1,0,
L048,Construction,B,650000,437780,1.22,4.7,7,0,0,
L049,Healthcare,B,200000,85873,1.97,5.3,13,0,0,
L050,Construction,BB+,850000,358150,1.94,4.5,22,1,0,
L051,Logistics,BB,875000,751682,2.36,4,5,1,0,
L052,Manufacturing,B+,325000,259770,1.86,1.6,26,0,0,
L053,Logistics,B,1150000,1015230,0.93,3.1,28,0,1,0.55
L054,Healthcare,B+,1050000,850118,2.15,3.4,5,0,0,
L055,Healthcare,B+,600000,343758,2.4,4.2,7,0,1,0.57
L056,Manufacturing,B+,425000,173540,2.5,5.2,6,0,1,0.46
L057,Manufacturing,B,1100000,585291,1.89,5.1,18,0,1,0.61
L058,Construction,B+,1000000,353530,2.6,3.3,27,0,0,
L059,Logistics,BB+,1025000,638911,1.35,4.6,9,1,0,
L060,Healthcare,B+,525000,291838,0.83,3.8,10,0,1,0.57
